paperID,title,citations,year,conference,last_updated
019b4d058d3c6df0e35c53c313cb1622241f00c2,The Importance of Communities for Learning to Influence,13,2017,NeurIPS,02 Mar 2022
019e2c1ee5d87aab11cb6cf74cae75d5413db9cd,Regime Switching Bandits,8,2021,NeurIPS,02 Mar 2022
019fdf22d15541aeaee96e1b7bbaf87164df3a2d,Benchmarking deep inverse models over time and the neural adjoint method,11,2020,NeurIPS,02 Mar 2022
01a5a65451f5343bca8f3c75e583b7c4c89187dd,MMA Regularization Decorrelating Weights of Neural Networks by Maximizing the Minimal Angles,2,2020,NeurIPS,02 Mar 2022
01addabc8df1d6c51b76271a6aedfcd038e1b1db,Topographic VAEs learn Equivariant Capsules,4,2021,NeurIPS,02 Mar 2022
01ae8022893eb7ccc87f54ab81eb6693aa527c28,Active Exploration for Learning Symbolic Representations,10,2017,NeurIPS,01 Mar 2022
01b5412f3d17e90e09226d7c40ad4d4468a1414d,Multimodal Few Shot Learning with Frozen Language Models,23,2021,NeurIPS,02 Mar 2022
01b60237d6e6a2534e3d05bcd40bb00bf79ccd7d,An Efficient Transfer Learning Framework for Multiagent Reinforcement Learning,0,2021,NeurIPS,02 Mar 2022
01c9f0ff83eb1c17eadee89737b3febf6c47d086,Zero shot Learning via Simultaneous Generating and Learning,29,2019,NeurIPS,02 Mar 2022
01cf1d83b7a4983001a50ec274043f53783ee94e,Understanding Attention and Generalization in Graph Neural Networks,98,2019,NeurIPS,02 Mar 2022
01cf48fd15ce4a261c2cbcdc99624ddc683c96da,AttendLight Universal Attention Based Reinforcement Learning Model for Traffic Signal Control,3,2020,NeurIPS,02 Mar 2022
01db8a5e8d3d868517eb3b2b50aabcabf7b66d50,Hybrid Models for Learning to Branch,23,2020,NeurIPS,02 Mar 2022
01e2cc4ff7414ce9f407d0626a41b77fa6be60e3,On component interactions in two stage recommender systems,1,2021,NeurIPS,02 Mar 2022
01f0f10e7d121eef12b45df617af6273546af94f,Deep ReLU Networks Have Surprisingly Few Activation Patterns,87,2019,NeurIPS,02 Mar 2022
0201703c263041201dcc93326867f6f561a05c22,Nonstochastic Multiarmed Bandits with Unrestricted Delays,20,2019,NeurIPS,02 Mar 2022
020cf45c6780eb3789ebd7401943ddf5a10dfe76,Debiased Visual Question Answering from Feature and Sample Perspectives,1,2021,NeurIPS,02 Mar 2022
022123ba8890fa88813bc50c07250ee4ed632527,RL for Latent MDPs Regret Guarantees and a Lower Bound,10,2021,NeurIPS,02 Mar 2022
02281117aa6a4848ce9092d203aad85d14ee7e84,Towards a combinatorial characterization of bounded memory learning,2,2020,NeurIPS,02 Mar 2022
0236dab4e67276dd014a1dd3d4ead5b84b8ef9e1,Neumann networks differential programming for supervised learning with missing values,5,2020,NeurIPS,02 Mar 2022
0247a1058cbcbb7afbdbb58b95b820298ba76af9,Better Safe Than Sorry Preventing Delusive Adversaries with Adversarial Training,7,2021,NeurIPS,02 Mar 2022
0254e59206404096073f89f7fa49d95139c6ee84,Active Assessment of Prediction Services as Accuracy Surface Over Attribute Combinations,0,2021,NeurIPS,02 Mar 2022
0255d978f9aac4842eca219872cd5e07dee5bf35,On The Classification Distortion Perception Tradeoff,10,2019,NeurIPS,02 Mar 2022
027220cee4d728e4fbfe00a7558902ed8bea0243,Learning With Feature Evolvable Streams,21,2017,NeurIPS,02 Mar 2022
0278d047bbba31ddcd8813356e4ca2d1854de5a6,Fast deep reinforcement learning using online adjustments from the past,24,2018,NeurIPS,02 Mar 2022
02853eaf34209269d893e7200098b37962d345ea,Amortized Inference Regularization,50,2018,NeurIPS,02 Mar 2022
028917f52d25d9044848aafccc64432914e9e6d1,Object DGCNN 3D Object Detection using Dynamic Graphs,2,2021,NeurIPS,02 Mar 2022
028969f5b5135797ba0690b46aaa3042a7720f6a,Deep Molecular Representation Learning via Fusing Physical and Chemical Information,1,2021,NeurIPS,02 Mar 2022
0289d774bd0dc8025005110973d5b8e6439197d8,Temporal Spike Sequence Learning via Backpropagation for Deep Spiking Neural Networks,31,2020,NeurIPS,02 Mar 2022
028e68f5ec8acc1918f350693921b46a51a06807,Private Identity Testing for High Dimensional Distributions,24,2020,NeurIPS,01 Mar 2022
028fee34cdd53d6c3fcc14641bba69c36222e6a3,ContraGAN Contrastive Learning for Conditional Image Generation,39,2020,NeurIPS,02 Mar 2022
029490920cd736e91d6c57f3cfb850adddcf2725,Self Supervised Generation of Spatial Audio for 360 Video,75,2018,NeurIPS,02 Mar 2022
0295df1b9d11e6e49b20119410fd755a4d7781af,Behavior From the Void Unsupervised Active Pre Training,19,2021,NeurIPS,02 Mar 2022
0295fb87bc5d8eb63ff2e6ead911d8d8f152a13d,Visual Object Networks Image Generation with Disentangled 3D Representations,131,2018,NeurIPS,02 Mar 2022
02bbd21fa9c282fe990a5f4e8d3b7c0196b8253e,The Potts Ising model for discrete multivariate data,0,2020,NeurIPS,02 Mar 2022
02c12f5c657d3aa98bbcaf0ac4b321da239af3c1,Contrast and Mix Temporal Contrastive Video Domain Adaptation with Background Mixing,3,2021,NeurIPS,02 Mar 2022
02d367a1cf5d3a757834f2c45b29b4fdc7b7458c,Handling Missing Data with Graph Representation Learning,22,2020,NeurIPS,02 Mar 2022
02e666b3fa5ced3719d9581251966eef23c53339,Meta Learning Reliable Priors in the Function Space,3,2021,NeurIPS,02 Mar 2022
02e7edc4b45a8903f5c41aa0ab5606fb15dfae54,Context aware Synthesis and Placement of Object Instances,60,2018,NeurIPS,02 Mar 2022
02eda5db3fcac704e5c0292f5260c1154e4c5ee4,Towards Real Time Reinforcement Learning Control of a Wave Energy Converter,7,2019,NeurIPS,02 Mar 2022
02f09989359a0447591d9cc71c768c89b5dfd475,TopRank A practical algorithm for online stochastic ranking,39,2018,NeurIPS,02 Mar 2022
02f4641337a51d1d7794367a8efb3398f505b8cb,Local Hyper flow Diffusion,1,2021,NeurIPS,02 Mar 2022
02f5a1f0aa1a03758ba22170be6eb27fae9f6263,Bipartite Stochastic Block Models with Tiny Clusters,11,2018,NeurIPS,02 Mar 2022
02f920db21feed5f4d334358e5a49f22dbac65a0,Efficient Gradient Computation for Structured Output Learning with Rational and Tropical Losses,2,2018,NeurIPS,02 Mar 2022
02fb9014304ba37c6712231855c8863d79681fad,Bootstrap Your Object Detector via Mixed Training,0,2021,NeurIPS,02 Mar 2022
0305fc4e22aae739f4a7bdfc49e1d9317cae4447,Parallelizing Thompson Sampling,1,2021,NeurIPS,02 Mar 2022
0308de39c39cb0d501bbabf49e505cc192d234b5,Why so gloomy A Bayesian explanation of human pessimism bias in the multi armed bandit task,4,2018,NeurIPS,02 Mar 2022
03097420a1c4b2500cec6f29740f9d3c2164168f,Exact Combinatorial Optimization with Graph Convolutional Neural Networks,117,2019,NeurIPS,02 Mar 2022
0312159e2e1afddcc7961035ad7a2ea31aa5965c,A Critical Look at the Consistency of Causal Estimation With Deep Latent Variable Models,1,2021,NeurIPS,02 Mar 2022
0313dec02e7ea7b98f8353b42c3ca31923d3e15c,Knowledge Augmented Deep Neural Networks for Joint Facial Expression and Action Unit Recognition,12,2020,NeurIPS,02 Mar 2022
032d865e92d97613a3659ec4a0b3e3243535b8ff,Backpropagation Friendly Eigendecomposition,22,2019,NeurIPS,02 Mar 2022
032e6b00ff267148a52e7623d370c4b7cac11762,Evolutionary Stochastic Gradient Descent for Optimization of Deep Neural Networks,35,2018,NeurIPS,02 Mar 2022
033ca87372d74ee2d9d4bc283e64f8f7bb3bc512,COHESIV Contrastive Object and Hand Embeddings for Segmentation In Video,1,2021,NeurIPS,02 Mar 2022
033e207ac07462a43959cb0298d979c443c8a9a4,Provably adaptive reinforcement learning in metric spaces,3,2020,NeurIPS,02 Mar 2022
034881a501ed487e769e50d70fe5a8c5b6a01096,Revisiting Smoothed Online Learning,0,2021,NeurIPS,02 Mar 2022
034b2e3d957df5405783f2c5695a8c2bd87d6334,FLAMBE Structural Complexity and Representation Learning of Low Rank MDPs,49,2020,NeurIPS,02 Mar 2022
034b8b81b2162d2eb3340f1068beecfd3efdddf4,A theory on the absence of spurious solutions for nonconvex and nonsmooth optimization,34,2018,NeurIPS,02 Mar 2022
035cde75f41e7c37fd21bb2cd5bbb4a761b7bac9,Unified Sample Optimal Property Estimation in Near Linear Time,16,2019,NeurIPS,02 Mar 2022
03654665467d5cac1919eeb050f3faf4b3a770f6,Scheduling Jobs with Stochastic Holding Costs,0,2021,NeurIPS,02 Mar 2022
0366b6396610708a77540564050a90a761a28937,Reinforcement Learning for Solving the Vehicle Routing Problem,281,2018,NeurIPS,02 Mar 2022
03700ad9bea6cdb705fe51834f46cd037c78c13f,Distributional Robustness with IPMs and links to Regularization and GANs,10,2020,NeurIPS,02 Mar 2022
037f36390bc61b4cc03eb646a7c00ddddef01d61,GumBolt Extending Gumbel trick to Boltzmann priors,7,2018,NeurIPS,02 Mar 2022
03887d5a9829301f6e5cb2d47655db68430f4d16,One Shot Object Detection with Co Attention and Co Excitation,59,2019,NeurIPS,02 Mar 2022
0392a3e410842ee9ae6155722b81762753b6744a,A New Theory for Matrix Completion,26,2017,NeurIPS,02 Mar 2022
039b1c1210c437f3b3ce6e0275ee2137bf5b951c,Assessing Social and Intersectional Biases in Contextualized Word Representations,68,2019,NeurIPS,02 Mar 2022
03a0378368f43ca5ff7561f8a9937240eb6beeb2,On the Model Shrinkage Effect of Gamma Process Edge Partition Models,4,2017,NeurIPS,02 Mar 2022
03a50adbe75ea5bc02b9350c5b9f0e80084d93b0,Streaming Weak Submodularity Interpreting Neural Networks on the Fly,76,2017,NeurIPS,02 Mar 2022
03a73cf5dc1dc2f147f3f308810f4dbbfbf24534,Conditional Independence Testing using Generative Adversarial Networks,14,2019,NeurIPS,02 Mar 2022
03b34e25484f90ca85fd8429bccd963445b47feb,Steering Distortions to Preserve Classes and Neighbors in Supervised Dimensionality Reduction,0,2020,NeurIPS,02 Mar 2022
03b481e995c3d450dcd0411742a7fef49a1e531a,Contextual Bandits with Cross learning,17,2019,NeurIPS,02 Mar 2022
03ba8a5ba730cded0145a3a1576b789fe8af74c6,Learning Game Theoretic Models of Multiagent Trajectories Using Implicit Layers,5,2021,NeurIPS,
03c20f9696521b8a9bb2737bbfd2bb933454ff3d,Quality Aware Generative Adversarial Networks,13,2019,NeurIPS,02 Mar 2022
03c346060b2cbf04947305f0a5a36eef6ca852ec,System Identification with Biophysical Constraints A Circuit Model of the Inner Retina,2,2020,NeurIPS,02 Mar 2022
03c699252dfda256dc70cd5b818b0b76775f784e,Understanding the Generalization Benefit of Model Invariance from a Data Perspective,0,2021,NeurIPS,02 Mar 2022
03c7ee9ac5d7db4dd006600b28d6687b61a02890,Making the Cut A Bandit based Approach to Tiered Interviewing,6,2019,NeurIPS,02 Mar 2022
03d12f37e7794607d5eca1397c98a52cbf80abf3,Learning Mixtures of Plackett Luce Models from Structured Partial Orders,8,2019,NeurIPS,02 Mar 2022
03d364221049c84333862872e044f6f0153ee639,Extrapolation Towards Imaginary 0 Nearest Neighbour and Its Improved Convergence Rate,1,2020,NeurIPS,02 Mar 2022
03db529f0bfae6d0b64b0feef565196327fe8d50,Intriguing Properties of Vision Transformers,44,2021,NeurIPS,02 Mar 2022
03dc950fb0a6506db22c65de8a1340988c393642,Certainty Equivalence is Efficient for Linear Quadratic Control,79,2019,NeurIPS,02 Mar 2022
03e7eafeb3b3939ade1c900db5f16d1dc367f86a,Neural Machine Translation with Soft Prototype,8,2019,NeurIPS,02 Mar 2022
040be180b42c4911599be5299871be0268c5566a,The Implicit Metropolis Hastings Algorithm,4,2019,NeurIPS,02 Mar 2022
040ffa54aa9e138ea619487a7f347c550624b8d6,Importance Resampling for Off policy Prediction,19,2019,NeurIPS,02 Mar 2022
